,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
386,KINDEX 미국스팩&IPO INDXX,391590,해외지수/해외지수,94,7830,3319,-17.06,0.7,한국투자신탁운용
387,KINDEX 스마트로우볼,322130,투자전략/투자전략,94,15640,4045,-6.46,0.19,한국투자신탁운용
389,KBSTAR 미국고정배당우선증권ICE TR,354240,해외지수/해외지수,91,10090,3833,-6.31,0.5,케이비자산운용
390,KOSEF 미국방어배당성장나스닥,373790,해외지수/해외지수,90,12875,42131,1.82,0.4,키움투자자산운용
391,MASTER 테크미디어텔레콤액티브,407160,테마/기타,90,9470,7808,-7.7,0.45,메리츠자산운용
392,KINDEX 멕시코MSCI(합성),291130,해외지수/해외지수,89,11120,542,9.66,0.5,한국투자신탁운용
395,TIGER 금속선물(H),139310,상품/금속,88,8785,16417,24.61,0.69,미래에셋자산운용
396,TIGER 200커뮤니케이션서비스,315270,시장지수/코스피200,87,26955,4509,-13.58,0.4,미래에셋자산운용
397,ARIRANG 글로벌MSCI(합성 H),189400,해외지수/해외지수,86,16625,700,-7.33,0.4,한화자산운용
398,KODEX MSCI Korea,156080,시장지수/MSCI Korea Index,85,17095,979,-8.04,0.15,삼성자산운용
399,KBSTAR 차이나HSCEI(H),250730,해외지수/해외지수,85,8575,3737,-9.93,0.4,케이비자산운용
400,KINDEX 스마트밸류,272230,투자전략/투자전략,85,14205,1294,-6.64,0.19,한국투자신탁운용
401,KODEX MSCI밸류,275290,시장지수/MSCI Korea Index,85,12185,691,-4.09,0.3,삼성자산운용
402,HANARO Fn골프테마,407300,테마/기타,85,8895,13268,-3.89,0.45,엔에이치아문디자산운용
403,KODEX 밸류Plus,244670,투자전략/투자전략,84,9385,10815,-0.79,0.3,삼성자산운용
404,마이다스 200커버드콜5%OTM,137930,파생상품/구조화,83,13825,16,-6.43,0.37,마이다스에셋자산운용
405,KBSTAR 5대그룹주,105780,그룹주/기타,83,6925,7553,-12.18,0.4,케이비자산운용
408,KBSTAR 차이나항셍테크,371150,해외지수/해외지수,82,6060,40210,-18.82,0.14,케이비자산운용
409,TIGER 우선주,261140,투자전략/투자전략,82,12105,4002,-9.99,0.29,미래에셋자산운용
410,TIGER 금은선물(H),139320,상품/금속,82,10200,6686,7.59,0.69,미래에셋자산운용
411,KINDEX 삼성그룹동일가중,131890,그룹주/삼성,82,16370,267,-5.07,0.15,한국투자신탁운용
412,HANARO Fn친환경에너지,381570,테마/녹색성장,82,9595,3575,-9.57,0.45,엔에이치아문디자산운용
413,KBSTAR 주식혼합,183710,기타/기타,81,40385,19,-5.55,0.25,케이비자산운용
414,KINDEX 스마트하이베타,322150,투자전략/투자전략,81,13505,139,-8.22,0.19,한국투자신탁운용
416,MASTER 스마트커머스액티브,407170,테마/기타,79,9320,4753,-4.7,0.45,메리츠자산운용
417,KINDEX 코스닥(합성),251890,시장지수/코스닥,79,13170,259,-8.03,0.3,한국투자신탁운용
418,KODEX 200 중소형,226980,스타일/스타일,79,13120,2258,-4.23,0.3,삼성자산운용
419,KODEX Fn멀티팩터,337120,투자전략/투자전략,79,13160,1442,-6.37,0.3,삼성자산운용
420,FOCUS 혁신기업액티브,402520,테마/기타,79,8715,575,-9.41,0.66,브이아이자산운용
